,o18,d2,Dewtem,Time,Tem,Pre,RH,m,dav,prs,d of IsoGSM2
17-Jan,-1.3,-2.5,4.3,3,7.3,4.3,0.81,0.702284157,10,1118,17.093
17-Feb,-3.054166667,-3.695833333,5.1,17,8.2,20.5,0.81,1.539927576,10,1117,15.624
17-Mar,-1.978280981,-4.900953365,8,25,11.1,33.9,0.81,1.70816931,10,1113,15.584
17-Apr,-3.916741496,-20.94958999,12.9,34,17.2,57.9,0.76,1.628076869,10,1107,14.019
17-May,-3.164346823,-17.06553616,16,27,21.5,33.7,0.71,1.571915085,10,1105,14.759
17-Jun,-7.939795052,-55.10434239,19.8,46,23.4,72.1,0.8,1.467180192,10,1100,15.592
17-Jul,-8.506061322,-60.94689157,23.2,27,26.7,383.3,0.81,1.358755926,10,1098,18.694
17-Aug,-9.500213495,-65.78357569,23.2,25,25.9,249,0.85,1.295615173,10,1172,18.126
17-Sep,-9.263660702,-64.84074919,19.8,18,22.3,38.6,0.86,1.277819198,10,1107,17.993
17-Oct,-12.82999288,-90.63329945,14.9,45,16.5,61.5,0.9,1.12455525,10,1116,19.998
17-Nov,-10.2,-63.3,9.6,8,12.4,10.7,0.83,1.390223778,10,1117,17.886
17-Dec,-2.3,0.366666667,3.3,1,6.5,1.4,0.8,2.061931515,10,1121,19.408
18-Jan,-3.7621304,-11.9804526,0.9,4,5.1,2,0.74,0.546448076,10,1117,24.1494765
18-Feb,-3.894909,-13.480884,2.8,8,7.5,11.4,0.72,0.939833888,10,1116,17.94629596
18-Mar,-0.936206897,-6.258445882,10.9,17,14.9,33.9,0.77,1.004367509,10,1108,15.33830642
18-Apr,-2.277253715,-11.02681203,13.8,35,18.5,48.5,0.74,1.653697586,10,1106,14.87113345
18-May,-2.729947703,-9.360422981,17,34,22.1,127.5,0.73,1.139823633,10,1103,14.73479603
18-Jun,-8.027803403,-54.92908793,20.5,32,23.8,253.3,0.82,1.139705555,10,1100,15.51947799
18-Jul,-12.11201461,-86.09956769,23.8,39,25.7,381.6,0.89,1.12508202,10,1098,18.70587662
18-Aug,-9.840865473,-69.7829766,23.4,16,26.9,175.9,0.81,1.279829951,10,1101,19.38184254
18-Sep,-10.19976329,-67.53948131,19.6,42,22,155.5,0.86,1.166679352,10,1110,17.21571891
18-Oct,-6.698762628,-40.86690161,14,16,16.2,33.7,0.87,1.20789294,10,1115,15.83476132
18-Nov,-7.056702865,-48.93772876,8.8,19,10.9,13.8,0.87,1.539806179,10,1116,15.43211129
18-Dec,-4.637828766,-19.83340703,4.1,11,6.6,13.2,0.84,1.079153118,10,1122,17.75580822
19-Jan,-4.662073,-15.017294,2.9,5,5.9,6.4,0.81,0,10,1120,17.36046114
19-Feb,-0.148287818,19.26916327,4.1,1,7.5,10.4,0.79,0,10,1115,16.25015791
19-Mar,-3.086250038,-6.474040297,8.6,31,12.3,34.4,0.78,0,10,1111,15.60236743
19-Apr,-0.830813064,0.996579567,15.3,14,19.2,47.4,0.78,0.787659922,10,1105,15.65865271
19-May,-2.082904766,-1.12936255,15.9,65,19.8,118.3,0.84,1.300553144,10,1105,14.49961673
19-Jun,-4.124016183,-18.90391191,19.4,43,24.3,47.5,0.81,2.217061912,10,1099,16.06612266
19-Jul,-8.343588929,-58.68438086,21,20,24.6,279.4,0.88,1.501824153,10,1098,14.64693238
19-Aug,-11.15013927,-78.48662334,21.4,26,26,218.7,0.83,1.779682603,10,1102,16.60087835
19-Sep,-9.640935013,-66.74962591,18.1,54,20.7,248.8,0.92,1.471446218,10,1111,16.37837009
19-Oct,-5.867175756,-33.39605784,14.3,45,17.5,76.2,0.87,1.706469623,10,1115,16.9328637
19-Nov,-3.742574,-11.40681933,9.2,10,12.2,19.7,0.86,1.478431987,10,1117,17.25335306
19-Dec,,,4.8,2,8.2,0.3,0.81,2.474367065,10,1118,18.05070203
20-Jan,,,5.2,1,7.5,18.12,0.88,0,10,1117,16.98920096
20-Feb,,,5.9,1,8.1,11.64,0.89,0,10,1116,16.97564239
20-Mar,,,7.4,9,11.5,2.16,0.79,0,10,1110,16.19600636
20-Apr,,,10.5,12,13.4,27,0.87,1.938390407,10,1111,15.96383691
20-May,,,15.7,14,24.3,39.12,0.63,2.123260488,10,1102,15.88381397
20-Jun,-7.831033739,-54.76044006,17.8,18,24.5,98.88,0.72,1.581664004,10,1099,15.20576793
20-Jul,-8.207335794,-55.51079423,22.3,76,26,74.4,0.88,1.457623569,10,1099,14.87291602
20-Aug,-14.45154044,-102.7181293,24,42,28.4,339.84,0.85,1.451709242,10,1100,17.58865308
20-Sep,-10.35415051,-69.43828457,19.8,51,23.9,36.48,0.85,1.305314923,10,1108,15.67901233
20-Oct,-12.87903182,-86.52106318,15.5,28,18.7,20.76,0.88,1.346305938,10,1117,18.42358064
20-Nov,-8.828422184,-49.19492749,11.2,4,14.5,29.16,0.85,1.469487315,10,1119,17.71331274
20-Dec,,,4.2,1,6.9,1.08,0.85,1.871817233,10,1122,16.19968979
